Date,Description,Debit,Credit
2026-01-05,OPENAI CHATGPT PLUS,1999,
2026-02-05,OPENAI CHATGPT PLUS,1999,
2026-03-05,OPENAI CHATGPT PLUS,1999,
2026-04-05,OPENAI CHATGPT PLUS,1999,
2026-05-05,OPENAI CHATGPT PLUS,1999,
2026-06-05,OPENAI CHATGPT PLUS,1999,
2026-01-08,ANTHROPIC CLAUDE PRO,1700,
2026-02-08,ANTHROPIC CLAUDE PRO,1700,
2026-03-08,ANTHROPIC CLAUDE PRO,1700,
2026-04-08,ANTHROPIC CLAUDE PRO,1700,
2026-05-08,ANTHROPIC CLAUDE PRO,1700,
2026-06-08,ANTHROPIC CLAUDE PRO,1700,
2026-01-12,RENDER.COM HOSTING,2240,
2026-02-12,RENDER.COM HOSTING,2260,
2026-03-12,RENDER.COM HOSTING,2280,
2026-04-12,RENDER.COM HOSTING,2310,
2026-05-12,RENDER.COM HOSTING,2480,
2026-06-12,RENDER.COM HOSTING,2710,
2026-01-14,VERCEL PRO PLAN,1650,
2026-02-14,VERCEL PRO PLAN,1650,
2026-03-14,VERCEL PRO PLAN,1650,
2026-04-14,VERCEL PRO PLAN,1650,
2026-05-14,VERCEL PRO PLAN,1650,
2026-06-14,VERCEL PRO PLAN,1650,
2026-01-18,NETFLIX INDIA,649,
2026-02-18,NETFLIX INDIA,649,
2026-03-18,NETFLIX INDIA,649,
2026-04-18,NETFLIX INDIA,649,
2026-05-18,NETFLIX INDIA,649,
2026-06-18,NETFLIX INDIA,649,
2026-01-21,ADOBE CREATIVE CLOUD,4230,
2026-02-21,ADOBE CREATIVE CLOUD,4230,
2026-03-21,ADOBE CREATIVE CLOUD,4230,
2026-04-21,ADOBE CREATIVE CLOUD,4230,
2026-05-21,ADOBE CREATIVE CLOUD,4230,
2026-06-21,ADOBE CREATIVE CLOUD,4230,
2026-01-25,SIP ZERODHA MUTUAL FUND,5000,
2026-02-25,SIP ZERODHA MUTUAL FUND,5000,
2026-03-25,SIP ZERODHA MUTUAL FUND,5000,
2026-04-25,SIP ZERODHA MUTUAL FUND,5000,
2026-05-25,SIP ZERODHA MUTUAL FUND,5000,
2026-06-25,SIP ZERODHA MUTUAL FUND,5000,
2026-06-28,SWIGGY ORDER,620,
2026-06-30,UBER TRIP,440,
2026-06-30,SALARY CREDIT,,180000
